 ,,A,Synonyms,Antonyms
adjective,uygun,appropriate,suitable,inappropriate
adjective,umutsuz,desperate,despairing,hopeful
verb,tutmak,engage,hire,dismiss
adjective,olağanüstü ,exceptional,extraordinary,common
verb,özgürlüğüne kavuşturmak,free up,clear,occupy
adjective,uygunsuz,inappropriate,unsuitable,appropriate
noun,yardım,lift,aid,discouragement
verb,işgal etmek,occupy,engage,anger
adjective,seçkin,outstanding,excellent,abysmal
adjective,düzenli,regular,standard,exceptional
noun,değiştirme,shift,move,motionlessness
noun,kesinlik,certainty,confidence,doubt
noun,tavsiye,recommendation,endorsement,dissuasion
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
insan suresi 22.İnne hâzâ kâne lekum cezâen ve kâne sa’yukum meşkûrâ( meşkûran).
Muhakkak ki bu, sizin mükâfatınız oldu. Ve sizin çabalarınız teşekküre lâyık olmuştur (takdir edilmiştir).

